Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Cavalcada de Reis",5/1/2018,5/1/2018,600000,,"Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,193,"Cavalcada dels Tres Tombs ",20/1/2018,20/1/2018,,"Barri de Sant Antoni","Diverses entitats",
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,2,"Museu Endins",3/2/2018,3/2/2018,3197,"Museus de l'Institut de Cultura","Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,,Carnaval,8/2/2018,12/2/2018,,"Diferents espais de la ciutat","Diverses entitats",
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Festes de Santa Eulàlia",13/2/2018,18/2/2018,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2018,3/3/2018,,"Barri de Gràica, Sant Gervasi i la Bordeta","Diverses entitats",
2018,Lletres,"Ajuntament de Barcelona",Festes,,"Diàlegs de Sant Jordi",19/4/2018,21/4/2018,944,,"Institut de Cultura. Ajuntament de Barcelona",
2018,Lletres,"Ajuntament de Barcelona",Festes,,"Nit del Drac - Nit d'Homenatges",22/4/2018,22/4/2018,700,,"Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2018,23/4/2018,,,"Diverses entitats",
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,11,"Nit dels Museus",19/5/2018,19/5/2018,180899,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",31/5/2018,3/6/2018,,"Diferents espais de la ciutat","Diverses entitats",
2018,Ciència,"Ajuntament de Barcelona",Festes,12,"Festa de la Ciència",9/6/2018,10/6/2018,20000,"Parc de la Ciutadella","Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2018,23/6/2018,,"Diversos espais de la ciutat","Diverses entitats",
2018,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2018,21/8/2018,,"Diversos carrers del barri de Gràcia","Diverses entitats",
2018,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",18/8/2018,26/8/2018,,"Diversos carrers del barri de Sants","Diverses entitats",
2018,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2018,11/9/2018,,,"Diverses entitats",
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"La Mercè",21/9/2018,24/3/2019,1393067,"Diversos espais ciutat","Institut de Cultura. Ajuntament de Barcelona",
2018,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Espectacle Nit de Cap d'Any",31/12/2018,31/12/2018,94000,"Av. Maria Cristina i les fonts de Montjuïc","Institut de Cultura. Ajuntament de Barcelona",
