Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Cavalcada de Reis",5/1/2021,5/1/2021,40000,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona","La Cavalcada de Reis del 2021, en motiu de la covid-19, es va fer entre el 28-12-20 i el 5-01-21 amb l'activitat ""La Màgia d'Orient al Fòrum"""
2021,"Festes i tradicions",Mixta,Festes,,Carnaval,11/2/2021,17/2/2021,,,-1,"A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Festes de Santa Eulàlia",12/2/2021,14/2/2021,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona","A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2021,3/3/2021,,,-1,"A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2021,23/4/2021,,,-1,"A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,13,"Nit dels Museus",15/5/2021,15/5/2021,30230,"Diversos museus de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",3/6/2021,6/6/2021,,,-1,
2021,Ciència,"Ajuntament de Barcelona",Festes,14,"Festa de la Ciència",13/6/2021,13/6/2021,2271,"Diversos espais de la ciutat","Programa Barcelona Ciència. Ajuntament de Barcelona",Presencial
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,5,"Museu Endins",19/6/2021,19/6/2021,862,"Diversos museus de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2021,23/6/2021,,,-1,
2021,"Festes i tradicions","Titularitat privada",Festes,1,Llibrestiu,15/7/2021,15/7/2021,,"100 llibreries de Catalunya (51 d'elles de Barcelona)","Cambra del Llibre de Catalunya",Presencial
2021,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2021,21/8/2021,,,-1,"A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",24/8/2021,29/8/2021,,,-1,"A causa de la crisi sanitària de la covid-19, el 2021 s'ha fet una versió més reduïda, adaptada a la situació de la pandèmia."
2021,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2021,11/9/2021,,,-1,
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"La Mercè",23/9/2021,26/9/2021,205246,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Espectacle Nit de Cap d'Any",31/12/2021,31/12/2021,,Online,"Institut de Cultura. Ajuntament de Barcelona",
