Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
Festes i tradicions,Ajuntament de Barcelona,Festes,,600000.0,,Institut de Cultura. Ajuntament de Barcelona,Cavalcada de Reis,2017-01-05,0
Festes i tradicions,Mixta,Festes,192.0,,Barri de Sant Antoni,Diverses entitats,Cavalcada dels Tres Tombs ,2017-01-21,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Diversos espais de Ciutat Vella,Institut de Cultura. Ajuntament de Barcelona,Festes de Santa Eulàlia,2017-02-10,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,Festes de Santa Eulàlia,2017-02-11,0
Festes i tradicions,Mixta,Festes,,,"Barri de Gràica, Sant Gervasi i la Bordeta",Diverses entitats,Festes de Santa Eulàlia,2017-02-12,0
Lletres,Ajuntament de Barcelona,Festes,,895.0,,Institut de Cultura. Ajuntament de Barcelona,Festes de Santa Eulàlia,2017-02-13,0
Lletres,Ajuntament de Barcelona,Festes,,400.0,,Institut de Cultura. Ajuntament de Barcelona,Festes de Santa Eulàlia,2017-02-14,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,Carnaval,2017-02-23,0
Festes i tradicions,Ajuntament de Barcelona,Festes,5.0,16900.0,Av. de la Catedral / Plaça Nova,Institut de Cultura. Ajuntament de Barcelona,Carnaval,2017-02-24,0
Festes i tradicions,Ajuntament de Barcelona,Festes,10.0,159209.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,Carnaval,2017-02-25,0
Ciència,Ajuntament de Barcelona,Festes,11.0,15000.0,Parc de la Ciutadella,Institut de Cultura. Ajuntament de Barcelona,Carnaval,2017-02-26,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,Carnaval,2017-02-27,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,Carnaval,2017-02-28,0
Festes i tradicions,Mixta,Festes,,,Diversos carrers del barri de Gràcia,Diverses entitats,Carnaval,2017-03-01,0
Festes i tradicions,Mixta,Festes,,,Diversos carrers del barri de Sants,Diverses entitats,Sant Medir,2017-03-03,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,Diàlegs de Sant Jordi,2017-04-20,0
Festes i tradicions,Ajuntament de Barcelona,Festes,1.0,2539.0,Museus de l'Institut de Cultura,Institut de Cultura. Ajuntament de Barcelona,Diàlegs de Sant Jordi,2017-04-21,0
